fecha,valor
28-03-25,1302.44
29-03-25,1302.44
30-03-25,1302.44
31-03-25,1313.97
01-04-25,1314.47
02-04-25,1314.47
03-04-25,1319.42
04-04-25,1340.44
05-04-25,1340.44
06-04-25,1340.44
07-04-25,1370.35
08-04-25,1376.58
09-04-25,1341.72
10-04-25,1364.01
11-04-25,1333.33
12-04-25,1333.33
13-04-25,1333.33
14-04-25,1253.40
15-04-25,1237.90
16-04-25,1165.93
17-04-25,1165.93
18-04-25,1165.93
19-04-25,1165.93
20-04-25,1165.93
21-04-25,1122.00
22-04-25,1140.00
23-04-25,1168.00
24-04-25,1186.00
25-04-25,1184.00
26-04-25,1184.00
27-04-25,1184.00
28-04-25,1176.00
29-04-25,1173.00
30-04-25,1183.37
01-05-25,1183.00
02-05-25,1183.00
03-05-25,1183.00
04-05-25,1183.00
05-05-25,1203.00
06-05-25,1200.00
07-05-25,1156.00
08-05-25,1143.00
09-05-25,1144.00
10-05-25,1144.00
11-05-25,1144.00
12-05-25,1141.00
13-05-25,1140.00
14-05-25,1140.00
15-05-25,1140.00
16-05-25,1155.00
17-05-25,1155.00
18-05-25,1155.00
19-05-25,1148.00
20-05-25,1153.00
21-05-25,1148.00
22-05-25,1143.00
23-05-25,1143.00
24-05-25,1142.00
25-05-25,1142.00
26-05-25,1145.00
27-05-25,1161.00
28-05-25,1164.80
29-05-25,1181.90
30-05-25,1191.00
31-05-25,1191.00
01-06-25,1191.00
02-06-25,1183.00
03-06-25,1189.00
04-06-25,1193.00
05-06-25,1192.00
06-06-25,1192.00
07-06-25,1192.00
08-06-25,1192.00
09-06-25,1192.00
10-06-25,1189.00
11-06-25,1187.00
12-06-25,1186.50
13-06-25,1192.00
14-06-25,1192.00
15-06-25,1192.00
16-06-25,1191.00
17-06-25,1190.00
18-06-25,1167.00
19-06-25,1174.00
20-06-25,1174.00
21-06-25,1174.00
22-06-25,1174.00
23-06-25,1185.00
24-06-25,1184.00
25-06-25,1196.00
26-06-25,1199.00
27-06-25,1197.00
28-06-25,1197.00
29-06-25,1197.00
30-06-25,1211.00
01-07-25,1233.00
02-07-25,1239.00
03-07-25,1238.00
04-07-25,1247.00
05-07-25,1247.00
06-07-25,1247.00
07-07-25,1276.00
08-07-25,1260.00
09-07-25,1260.00
10-07-25,1268.00
11-07-25,1269.00
12-07-25,1269.00
13-07-25,1269.00
14-07-25,1296.00
15-07-25,1276.00
16-07-25,1270.00
17-07-25,1281.00
18-07-25,1293.00
19-07-25,1293.00
20-07-25,1293.00
21-07-25,1281.00
22-07-25,1260.00
23-07-25,1264.00
24-07-25,1273.00
25-07-25,1286.00
26-07-25,1286.00
27-07-25,1286.00
28-07-25,1296.00
29-07-25,1294.00
30-07-25,1322.00
31-07-25,1359.00
01-08-25,1357.00
02-08-25,1357.00
03-08-25,1357.00
04-08-25,1356.00
05-08-25,1344.00
06-08-25,1335.00
07-08-25,1328.00
08-08-25,1332.00
09-08-25,1332.00
10-08-25,1332.00
11-08-25,1324.00
12-08-25,1323.00
13-08-25,1323.00
14-08-25,1308.00
15-08-25,1308.00
16-08-25,1308.00
17-08-25,1308.00
18-08-25,1301.06
19-08-25,1297.02
20-08-25,1309.60
21-08-25,1321.87
22-08-25,1329.08
23-08-25,1329.08
24-08-25,1329.08
25-08-25,1362.22
26-08-25,1352.46
27-08-25,1358.27
28-08-25,1344.00
29-08-25,1357.00
30-08-25,1357.00
31-08-25,1357.00
01-09-25,1376.00
02-09-25,1366.00
03-09-25,1370.00
04-09-25,1378.00
05-09-25,1383.00
06-09-25,1383.00
07-09-25,1383.00
08-09-25,1435.00
09-09-25,1431.00
10-09-25,1428.00
11-09-25,1451.00
12-09-25,1468.00
13-09-25,1468.00
14-09-25,1468.00
15-09-25,1488.00
16-09-25,1470.00
17-09-25,1486.00
18-09-25,1535.00
19-09-25,1551.00
20-09-25,1551.00
21-09-25,1551.00
22-09-25,1427.00
23-09-25,1405.00
24-09-25,1369.00
25-09-25,1380.00
26-09-25,1431.00
27-09-25,1431.00
28-09-25,1431.00
29-09-25,1454.00
30-09-25,1494.00
01-10-25,1523.00
02-10-25,1500.00
03-10-25,1498.00
04-10-25,1498.00
05-10-25,1498.00
06-10-25,1499.00
07-10-25,1541.00
