fecha,valor
11-02-25,1346.63
12-02-25,1347.79
13-02-25,1348.95
14-02-25,1350.11
15-02-25,1351.27
16-02-25,1351.27
17-02-25,1351.27
18-02-25,1354.53
19-02-25,1355.59
20-02-25,1356.64
21-02-25,1357.69
22-02-25,1358.75
23-02-25,1358.75
24-02-25,1358.75
25-02-25,1361.92
26-02-25,1362.98
27-02-25,1364.04
28-02-25,1365.10
01-03-25,1366.16
02-03-25,1366.16
03-03-25,1366.16
04-03-25,1366.16
05-03-25,1366.16
06-03-25,1371.48
07-03-25,1372.55
08-03-25,1373.61
09-03-25,1373.61
10-03-25,1373.61
11-03-25,1376.82
12-03-25,1377.89
13-03-25,1378.96
14-03-25,1380.03
15-03-25,1381.11
16-03-25,1381.11
17-03-25,1381.11
18-03-25,1384.30
19-03-25,1385.36
20-03-25,1386.42
21-03-25,1387.48
22-03-25,1388.54
23-03-25,1388.54
24-03-25,1388.54
25-03-25,1388.54
26-03-25,1392.80
27-03-25,1393.86
28-03-25,1394.93
29-03-25,1396.00
30-03-25,1396.00
31-03-25,1396.00
01-04-25,1399.20
02-04-25,1400.28
03-04-25,1400.28
04-04-25,1402.42
05-04-25,1403.49
06-04-25,1403.49
07-04-25,1403.49
08-04-25,1406.72
09-04-25,1407.79
10-04-25,1408.87
11-04-25,1409.95
12-04-25,1411.03
13-04-25,1411.03
14-04-25,1411.03
15-04-25,1414.27
16-04-25,1415.35
17-04-25,1417.07
18-04-25,1417.07
19-04-25,1417.07
20-04-25,1417.07
21-04-25,1417.07
22-04-25,1425.88
23-04-25,1427.40
24-04-25,1429.13
25-04-25,1430.87
26-04-25,1432.60
27-04-25,1432.60
28-04-25,1432.60
29-04-25,1437.81
30-04-25,1439.56
01-05-25,1441.30
02-05-25,1441.30
03-05-25,1441.30
04-05-25,1441.30
05-05-25,1441.30
06-05-25,1450.05
07-05-25,1451.81
08-05-25,1453.57
09-05-25,1455.33
10-05-25,1457.10
11-05-25,1457.10
12-05-25,1457.10
13-05-25,1462.40
14-05-25,1464.17
15-05-25,1465.95
16-05-25,1467.72
17-05-25,1469.03
18-05-25,1469.03
19-05-25,1469.03
20-05-25,1472.96
21-05-25,1474.27
22-05-25,1475.59
23-05-25,1476.90
24-05-25,1478.22
25-05-25,1478.22
26-05-25,1478.22
27-05-25,1482.18
28-05-25,1483.50
29-05-25,1484.82
30-05-25,1486.14
31-05-25,1487.47
01-06-25,1487.47
02-06-25,1487.47
03-06-25,1491.45
04-06-25,1492.78
05-06-25,1494.11
06-06-25,1495.44
07-06-25,1496.77
08-06-25,1496.77
09-06-25,1496.77
10-06-25,1500.78
11-06-25,1502.11
12-06-25,1503.45
13-06-25,1504.79
14-06-25,1506.13
15-06-25,1506.13
16-06-25,1506.13
17-06-25,1506.13
18-06-25,1510.32
19-06-25,1511.07
20-06-25,1511.82
21-06-25,1511.82
22-06-25,1511.82
23-06-25,1511.82
24-06-25,1514.82
25-06-25,1515.57
26-06-25,1516.33
27-06-25,1517.08
28-06-25,1517.83
29-06-25,1517.83
30-06-25,1517.83
01-07-25,1520.09
02-07-25,1520.85
03-07-25,1521.60
04-07-25,1522.36
05-07-25,1523.11
06-07-25,1523.11
07-07-25,1523.11
08-07-25,1525.38
09-07-25,1526.14
10-07-25,1526.14
11-07-25,1526.66
12-07-25,1528.41
13-07-25,1528.41
14-07-25,1528.41
15-07-25,1530.69
16-07-25,1531.45
17-07-25,1532.24
18-07-25,1533.02
19-07-25,1533.81
20-07-25,1533.81
21-07-25,1533.81
22-07-25,1536.16
23-07-25,1536.95
24-07-25,1537.74
25-07-25,1538.52
26-07-25,1539.31
27-07-25,1539.31
28-07-25,1539.31
29-07-25,1541.68
30-07-25,1542.47
31-07-25,1543.26
01-08-25,1544.06
02-08-25,1544.84
03-08-25,1544.84
04-08-25,1544.84
05-08-25,1547.21
06-08-25,1548.01
07-08-25,1548.80
08-08-25,1549.59
09-08-25,1550.39
10-08-25,1550.39
11-08-25,1550.39
12-08-25,1552.77
13-08-25,1553.57
14-08-25,1554.36
15-08-25,1555.16
16-08-25,1555.16
17-08-25,1555.16
18-08-25,1555.16
19-08-25,1558.79
20-08-25,1559.74
21-08-25,1560.68
22-08-25,1561.63
23-08-25,1562.58
24-08-25,1562.58
25-08-25,1562.58
26-08-25,1565.43
27-08-25,1566.38
28-08-25,1567.33
29-08-25,1568.28
30-08-25,1569.24
31-08-25,1569.24
01-09-25,1569.24
02-09-25,1572.10
03-09-25,1573.05
04-09-25,1574.01
